FNV	A32	DJB	JEN
1037	1055	1033	1017
1081	1021	1016	994
1034	995	1052	946
1046	969	986	1022
992	977	964	950
1042	994	1004	1044
1011	998	1043	963
945	1019	973	975
1001	1022	1030	1001
999	1009	1017	990
944	995	1009	982
1007	991	1039	992
1052	1042	992	977
1004	1048	947	956
1000	1025	1044	1005
978	955	998	992
967	968	1020	1014
1011	1017	999	982
1013	960	1031	1000
948	962	968	999
934	994	1017	1037
972	1034	999	1019
978	947	961	1024
973	1028	961	1012
1038	1006	1015	1029
979	995	1037	1000
1001	1049	961	1043
998	927	944	1021
987	1012	944	1031
1015	955	1001	1008
1032	976	1029	948
1015	1010	966	1059
972	965	997	1015
1010	1028	1029	982
1006	1008	1033	1047
973	1006	974	949
993	996	969	988
1004	991	977	984
1004	993	1021	936
961	1025	1010	966
970	1033	1044	1035
1023	971	975	993
985	974	973	999
977	1003	985	1012
993	1000	1026	974
997	998	982	1056
1063	1027	967	998
928	1044	977	964
1018	1042	1051	951
919	1044	1010	1077
1016	999	1036	973
1034	994	1007	1023
1001	936	969	982
1016	971	998	1010
1011	1011	956	990
1054	997	983	973
980	1019	1027	958
960	986	1042	1072
1044	992	980	1080
990	1029	973	971
1085	975	1028	1059
936	992	1017	990
997	977	960	1014
996	956	979	1013
982	979	993	1044
1033	986	956	1026
938	992	995	956
1004	1004	1017	993
942	1072	1033	974
1009	1001	1044	989
974	983	921	985
1033	965	946	988
1017	1034	1017	1029
966	1004	1013	1014
1005	989	975	988
1045	975	1039	990
1005	998	1083	1008
1006	935	972	970
996	994	1013	1040
1016	984	1010	994
995	960	978	927
984	1055	1075	983
995	995	959	1028
1023	923	984	1026
1007	1013	981	990
1039	1020	992	1057
1019	1011	977	1005
921	1012	1047	1053
970	1025	985	944
997	1024	1019	962
986	1029	1011	1050
1030	990	999	1010
1050	1042	1001	967
990	1052	1013	1022
1010	1027	961	971
1030	1025	963	996
1015	1010	978	973
1001	1004	1001	990
1045	989	1067	985
972	962	1027	1007


MIN	919	923	921	927
MEDIAN	1001	998	999	995
MEAN 	1000	1000	1000	1000
MAX	1085	1072	1083	1080


Used	excel	to	get	stats
